No,Kode_Provinsi,Provinsi,Kode_Lokasi,Kabupaten_Kota,Kode_Desa,Nama_Desa,Pagu
1,10,JAMBI,1001,KAB. BATANGHARI,1504012002,Sengkati Kecil,826836000
2,10,JAMBI,1001,KAB. BATANGHARI,1504012003,Sengkati Gedang,685166000
3,10,JAMBI,1001,KAB. BATANGHARI,1504012004,Sengkati Baru,942792000
4,10,JAMBI,1001,KAB. BATANGHARI,1504012005,Kembang Tanjung,831507000
5,10,JAMBI,1001,KAB. BATANGHARI,1504012006,Mersam,867531000
6,10,JAMBI,1001,KAB. BATANGHARI,1504012007,Benteng Rendah,813405000
7,10,JAMBI,1001,KAB. BATANGHARI,1504012008,Sungai Puar,728381000
8,10,JAMBI,1001,KAB. BATANGHARI,1504012009,Rantau Gedang,1034363000
9,10,JAMBI,1001,KAB. BATANGHARI,1504012010,Pematang Gadung,1221386000
10,10,JAMBI,1001,KAB. BATANGHARI,1504012011,Teluk Melintang,626091000
11,10,JAMBI,1001,KAB. BATANGHARI,1504012012,Bukit Harapan,1086408000
12,10,JAMBI,1001,KAB. BATANGHARI,1504012013,Belanti Jaya,1141788000
13,10,JAMBI,1001,KAB. BATANGHARI,1504012014,Tapah Sari,816729000
14,10,JAMBI,1001,KAB. BATANGHARI,1504012015,Bukit Kemuning,681011000
15,10,JAMBI,1001,KAB. BATANGHARI,1504012016,Simpang Rantau Gedang,1334670000
16,10,JAMBI,1001,KAB. BATANGHARI,1504012017,Tanjung Putra,662198000
17,10,JAMBI,1001,KAB. BATANGHARI,1504012018,Sengkati Mudo,666611000
18,10,JAMBI,1001,KAB. BATANGHARI,1504022003,Jebak,962160000
19,10,JAMBI,1001,KAB. BATANGHARI,1504022004,Ampelu,835200000
20,10,JAMBI,1001,KAB. BATANGHARI,1504022005,Rambutan Masam,969071000
21,10,JAMBI,1001,KAB. BATANGHARI,1504022006,Rantau Kapas Mudo,790314000
22,10,JAMBI,1001,KAB. BATANGHARI,1504022007,Rantau Kapas Tuo,723488000
23,10,JAMBI,1001,KAB. BATANGHARI,1504022008,Sungai Pulai,825393000
24,10,JAMBI,1001,KAB. BATANGHARI,1504022009,Pulau,911091000
25,10,JAMBI,1001,KAB. BATANGHARI,1504022010,Tanjung Marwo,906453000
26,10,JAMBI,1001,KAB. BATANGHARI,1504022011,Suka Ramai,795066000
27,10,JAMBI,1001,KAB. BATANGHARI,1504022012,Ampelu Mudo,701417000
28,10,JAMBI,1001,KAB. BATANGHARI,1504022013,Pelayangan,860121000
29,10,JAMBI,1001,KAB. BATANGHARI,1504022015,Pematang Lima Suku,848772000
