No,Kode_Provinsi,Provinsi,Kode_Lokasi,Kabupaten_Kota,Kode_Desa,Nama_Desa,Pagu
1,10,JAMBI,1001,KAB. BATANGHARI,1504012002,Sengkati Kecil,828563000
2,10,JAMBI,1001,KAB. BATANGHARI,1504012003,Sengkati Gedang,768586000
3,10,JAMBI,1001,KAB. BATANGHARI,1504012004,Sengkati Baru,1091444000
4,10,JAMBI,1001,KAB. BATANGHARI,1504012005,Kembang Tanjung,1167028000
5,10,JAMBI,1001,KAB. BATANGHARI,1504012006,Mersam,1118920000
6,10,JAMBI,1001,KAB. BATANGHARI,1504012007,Benteng Rendah,828313000
7,10,JAMBI,1001,KAB. BATANGHARI,1504012008,Sungai Puar,711862000
8,10,JAMBI,1001,KAB. BATANGHARI,1504012009,Rantau Gedang,1049790000
9,10,JAMBI,1001,KAB. BATANGHARI,1504012010,Pematang Gadung,887816000
10,10,JAMBI,1001,KAB. BATANGHARI,1504012011,Teluk Melintang,628942000
11,10,JAMBI,1001,KAB. BATANGHARI,1504012012,Bukit Harapan,767914000
12,10,JAMBI,1001,KAB. BATANGHARI,1504012013,Belanti Jaya,1042676000
13,10,JAMBI,1001,KAB. BATANGHARI,1504012014,Tapah Sari,788739000
14,10,JAMBI,1001,KAB. BATANGHARI,1504012015,Bukit Kemuning,658180000
15,10,JAMBI,1001,KAB. BATANGHARI,1504012016,Simpang Rantau Gedang,802166000
16,10,JAMBI,1001,KAB. BATANGHARI,1504012017,Tanjung Putra,740195000
17,10,JAMBI,1001,KAB. BATANGHARI,1504012018,Sengkati Mudo,655007000
18,10,JAMBI,1001,KAB. BATANGHARI,1504022003,Jebak,1053791000
19,10,JAMBI,1001,KAB. BATANGHARI,1504022004,Ampelu,820504000
20,10,JAMBI,1001,KAB. BATANGHARI,1504022005,Rambutan Masam,964727000
21,10,JAMBI,1001,KAB. BATANGHARI,1504022006,Rantau Kapas Mudo,827573000
22,10,JAMBI,1001,KAB. BATANGHARI,1504022007,Rantau Kapas Tuo,769634000
23,10,JAMBI,1001,KAB. BATANGHARI,1504022008,Sungai Pulai,780976000
24,10,JAMBI,1001,KAB. BATANGHARI,1504022009,Pulau,912947000
25,10,JAMBI,1001,KAB. BATANGHARI,1504022010,Tanjung Marwo,906093000
26,10,JAMBI,1001,KAB. BATANGHARI,1504022011,Suka Ramai,782191000
27,10,JAMBI,1001,KAB. BATANGHARI,1504022012,Ampelu Mudo,686843000
28,10,JAMBI,1001,KAB. BATANGHARI,1504022013,Pelayangan,857210000
29,10,JAMBI,1001,KAB. BATANGHARI,1504022015,Pematang Lima Suku,869035000
30,10,JAMBI,1001,KAB. BATANGHARI,1504032006,Pasar Terusan,885411000
31,10,JAMBI,1001,KAB. BATANGHARI,1504032007,Simpang Terusan,866215000
32,10,JAMBI,1001,KAB. BATANGHARI,1504032008,Malapari,1112161000
33,10,JAMBI,1001,KAB. BATANGHARI,1504032009,Napal Sisik,687457000
34,10,JAMBI,1001,KAB. BATANGHARI,1504032010,Rambahan,704606000
35,10,JAMBI,1001,KAB. BATANGHARI,1504032011,Olak,724588000
36,10,JAMBI,1001,KAB. BATANGHARI,1504032012,Muaro Singoan,764341000
37,10,JAMBI,1001,KAB. BATANGHARI,1504032013,Aro,878375000
38,10,JAMBI,1001,KAB. BATANGHARI,1504032014,Rantau Puri,789352000
39,10,JAMBI,1001,KAB. BATANGHARI,1504032015,Sungai Baung,965436000
40,10,JAMBI,1001,KAB. BATANGHARI,1504032016,Bajubang Laut,811099000
41,10,JAMBI,1001,KAB. BATANGHARI,1504032017,Singkawang,865494000
42,10,JAMBI,1001,KAB. BATANGHARI,1504032018,Tenam,852275000
43,10,JAMBI,1001,KAB. BATANGHARI,1504032019,Sungai Buluh,851630000
44,10,JAMBI,1001,KAB. BATANGHARI,1504032020,Kilangan,894417000
45,10,JAMBI,1001,KAB. BATANGHARI,1504032021,Pelayangan,721709000
46,10,JAMBI,1001,KAB. BATANGHARI,1504042001,Jelutih,2009833000
47,10,JAMBI,1001,KAB. BATANGHARI,1504042002,Olak Besar,744136000
48,10,JAMBI,1001,KAB. BATANGHARI,1504042004,Aur Gading,859982000
49,10,JAMBI,1001,KAB. BATANGHARI,1504042005,Paku Aji,791605000
50,10,JAMBI,1001,KAB. BATANGHARI,1504042006,Hajran,820656000
51,10,JAMBI,1001,KAB. BATANGHARI,1504042007,Mata Gual,726277000
52,10,JAMBI,1001,KAB. BATANGHARI,1504042008,Jangga,812293000
53,10,JAMBI,1001,KAB. BATANGHARI,1504042009,Koto Boyo,1166601000
54,10,JAMBI,1001,KAB. BATANGHARI,1504042010,Simpang Karmeo,1049112000
55,10,JAMBI,1001,KAB. BATANGHARI,1504042011,Karmeo,913375000
56,10,JAMBI,1001,KAB. BATANGHARI,1504042013,Jangga Baru,953847000
57,10,JAMBI,1001,KAB. BATANGHARI,1504042014,Terentang Baru,794006000
58,10,JAMBI,1001,KAB. BATANGHARI,1504042015,Bulian Baru,829962000
59,10,JAMBI,1001,KAB. BATANGHARI,1504042016,Simpang Jelutih,764641000
60,10,JAMBI,1001,KAB. BATANGHARI,1504042017,Simpang Aur Gading,992115000
61,10,JAMBI,1001,KAB. BATANGHARI,1504052001,Tebing Tinggi,1125988000
62,10,JAMBI,1001,KAB. BATANGHARI,1504052003,Serasah,817213000
63,10,JAMBI,1001,KAB. BATANGHARI,1504052004,Lubuk Ruso,821127000
64,10,JAMBI,1001,KAB. BATANGHARI,1504052005,Kuap,767941000
65,10,JAMBI,1001,KAB. BATANGHARI,1504052006,Senaning,754416000
66,10,JAMBI,1001,KAB. BATANGHARI,1504052007,Kubu Kandang,741314000
67,10,JAMBI,1001,KAB. BATANGHARI,1504052008,Ture,835130000
68,10,JAMBI,1001,KAB. BATANGHARI,1504052009,Pulau Betung,890499000
69,10,JAMBI,1001,KAB. BATANGHARI,1504052010,Lopak Aur,975124000
70,10,JAMBI,1001,KAB. BATANGHARI,1504052011,Selat,1165680000
71,10,JAMBI,1001,KAB. BATANGHARI,1504052012,Teluk,1467523000
72,10,JAMBI,1001,KAB. BATANGHARI,1504052013,Pulau Raman,921584000
73,10,JAMBI,1001,KAB. BATANGHARI,1504052014,Kaos,858028000
74,10,JAMBI,1001,KAB. BATANGHARI,1504052015,Simpang Kubu Kandang,649832000
75,10,JAMBI,1001,KAB. BATANGHARI,1504052016,Awin,864682000
76,10,JAMBI,1001,KAB. BATANGHARI,1504052017,Olak Rambahan,828339000
77,10,JAMBI,1001,KAB. BATANGHARI,1504052019,Teluk Ketapang,919465000
78,10,JAMBI,1001,KAB. BATANGHARI,1504052020,Kampung Pulau,659883000
79,10,JAMBI,1001,KAB. BATANGHARI,1504062001,Batu Sawar,759872000
80,10,JAMBI,1001,KAB. BATANGHARI,1504062002,Peninjauan,1255327000
81,10,JAMBI,1001,KAB. BATANGHARI,1504062003,Teluk Leban,1149503000
82,10,JAMBI,1001,KAB. BATANGHARI,1504062004,Kampung Baru,1012525000
83,10,JAMBI,1001,KAB. BATANGHARI,1504062005,Rengas IX,710832000
