Kode_Desa,Tahun,Nama_Desa,Uraian_Output,Cara_Pengadaan,if_score,if_flag,lof_score,lof_flag,rda_score,rda_flag,consensus_flag,typology_primary,typologies_str,top_error_feature,persistence_score,priority_tier,expert_verdict,modus_operandi_notes,years_flagged,rda_sparse_norm
1504012002,2023,Sengkati Kecil,Operasional PAUD/TK/TPA/TKA/TPQ/Madrasah Non-Formal Milik Desa,Swakelola,-0.1219077568864236,1,1.025195282695118,0,0.0007320499,1,1,T1_Markup,T1_Markup|T5_ProcurementIrregularity|T7_CrossCatDump,avg_completion,1.0,Tier 1 – High Priority,,,3,0.003474829
1504012002,2023,Sengkati Kecil,Jumlah Peserta Penyuluhan dan Pelatihan Bidang Kesehatan,Swakelola,0.1627986770962068,0,3.0408814425210764,1,0.00013335637,0,1,T2_Ghost,T2_Ghost,activity_category,1.0,Tier 1 – High Priority,,,3,0.0027093736
1504012002,2023,Sengkati Kecil,Pembangunan Jalan Usaha Tani,Swakelola,0.1131249562167686,0,2.322769218585486,1,3.7529622e-05,0,1,T2_Ghost,T2_Ghost,cost_per_unit,1.0,Tier 1 – High Priority,,,3,0.00070505025
1504012003,2023,Sengkati Gedang,Terciptanya Sistem Informasi Desa,Swakelola,0.1431330777659917,0,6.058339670980624,1,3.6823556e-05,0,1,T2_Ghost,T2_Ghost,activity_category,0.6667,Tier 1 – High Priority,,,2,0.0018402989
1504012003,2023,Sengkati Gedang,Pembangunan Jalan Usaha Tani,Swakelola,-0.2321433330016119,1,2.12521281014392,1,0.0063741207,1,1,T1_Markup,T1_Markup|T5_ProcurementIrregularity|T7_CrossCatDump,cost_deviation_by_category,0.6667,Tier 1 – High Priority,,,2,0.026332095
1504012004,2023,Sengkati Baru,Dukungan kegiatan seremonial di desa,Swakelola,0.1290238962351101,0,1.8099821592493304,1,0.00039813085,0,1,Unclassified,Unclassified,cost_deviation_by_category,1.0,Tier 1 – High Priority,,,3,0.0057502915
1504012004,2023,Sengkati Baru,Terciptanya Sistem Informasi Desa,Swakelola,0.1179261387276165,0,5.10330770306167,1,0.00025498655,0,1,T2_Ghost,T2_Ghost,cost_deviation_by_category,1.0,Tier 1 – High Priority,,,3,0.006484894
1504012004,2023,Sengkati Baru,Operasional PAUD/TK/TPA/TKA/TPQ/Madrasah Non-Formal Milik Desa,Swakelola,-0.0576586560481598,1,1.0248370071493584,0,0.00050384726,1,1,T1_Markup,T1_Markup|T5_ProcurementIrregularity|T7_CrossCatDump,activity_category,1.0,Tier 1 – High Priority,,,3,0.0065303897
1504012004,2023,Sengkati Baru,Pemeliharaan Jalan Lingkungan Permukiman/Gang,Swakelola,0.1032098467795988,0,2.1463317341267167,1,4.631858e-05,0,1,T2_Ghost,T2_Ghost,swakelola_high_value,1.0,Tier 1 – High Priority,,,3,0.0
1504012004,2023,Sengkati Baru,Pemeliharaan Sambungan Air Bersih,Swakelola,0.1696130824166475,0,1.8055471337451217,1,0.00013566515,0,1,T2_Ghost,T2_Ghost,cost_per_unit,1.0,Tier 1 – High Priority,,,3,0.0016928267
1504012005,2023,Kembang Tanjung,Dukungan kegiatan seremonial di desa,Swakelola,-0.0059271495581332,1,1.0672446081528868,0,0.0007355083,1,1,T5_ProcurementIrregularity,T5_ProcurementIrregularity,cost_deviation_by_category,1.0,Tier 1 – High Priority,,,3,0.010827828
1504012005,2023,Kembang Tanjung,Operasional PAUD/TK/TPA/TKA/TPQ/Madrasah Non-Formal Milik Desa,Swakelola,0.0530545967234876,0,1.7936920619818066,1,0.000100309655,0,1,Unclassified,Unclassified,cost_deviation_by_category,1.0,Tier 1 – High Priority,,,3,0.0025374943
1504012005,2023,Kembang Tanjung,Jumlah Peserta Pelatihan Pembinaan Lembaga Kemasyarakatan,Swakelola,-0.0788630154290724,1,1.0756891571843057,0,0.00069467403,1,1,T2_Ghost,T2_Ghost|T7_CrossCatDump,swakelola_high_value,1.0,Tier 1 – High Priority,,,3,0.0140069155
1504012005,2023,Kembang Tanjung,Jumlah alat produksi dan pengolahan pertanian yang diserahkan,Swakelola,-0.0320795728426964,1,1.683613517030674,0,0.003261311,1,1,T2_Ghost,T2_Ghost|T5_ProcurementIrregularity,avg_completion,1.0,Tier 1 – High Priority,,,3,0.026972774
1504012005,2023,Kembang Tanjung,Jumlah Frekwensi Pelatihan/Penyuluhan Pemberdayaan Perempuan,Swakelola,0.0861312505823946,0,1.901981504815122,1,0.00042652618,0,1,T2_Ghost,T2_Ghost,avg_completion,1.0,Tier 1 – High Priority,,,3,0.0
1504012006,2023,Mersam,Biaya Koordinasi Pemerintah Desa,Swakelola,-0.0144615051691813,1,1.0782776260638276,0,0.0009398706,1,1,Unclassified,Unclassified,cost_per_unit,1.0,Tier 1 – High Priority,,,3,0.004950895
1504012006,2023,Mersam,"Prasarana Jalan Desa (Gorong-gorong, Selokan, Box/Slab Culvert, Drainase, Prasarana Jalan lain)",Swakelola,0.0945521458812405,0,1.844502844284932,1,0.0001313096,0,1,T2_Ghost,T2_Ghost,cost_per_unit,1.0,Tier 1 – High Priority,,,3,0.0020956476
1504012006,2023,Mersam,Kolam Perikanan Darat Milik Desa,Swakelola,-0.033161457070351,1,1.516402101586606,0,0.00094676326,1,1,T1_Markup,T1_Markup|T2_Ghost|T5_ProcurementIrregularity,cost_deviation_by_category,1.0,Tier 1 – High Priority,,,3,0.0
1504012007,2023,Benteng Rendah,Dukungan kegiatan seremonial di desa,Swakelola,-0.0259311001122027,1,1.0816166893147936,0,0.0005201878,1,1,T5_ProcurementIrregularity,T5_ProcurementIrregularity,swakelola_high_value,1.0,Tier 1 – High Priority,,,3,0.007368556
1504012008,2023,Sungai Puar,Terciptanya Sistem Informasi Desa,Swakelola,0.1431330777659917,0,6.058339670980624,1,3.6090078e-05,0,1,T2_Ghost,T2_Ghost,activity_category,1.0,Tier 1 – High Priority,,,3,0.0017372429
1504012008,2023,Sungai Puar,Pembangunan Jalan Usaha Tani,Swakelola,-0.1020843425782329,1,1.1571587232388352,0,0.0007909202,1,1,T1_Markup,T1_Markup|T2_Ghost|T5_ProcurementIrregularity|T7_CrossCatDump,activity_category,1.0,Tier 1 – High Priority,,,3,0.007371671
1504012008,2023,Sungai Puar,Jumlah Frekwensi Pelatihan/Penyuluhan Perlindungan Anak,Swakelola,0.1057772076142163,0,2.1894202081446417,1,0.00043521155,0,1,T2_Ghost,T2_Ghost,activity_category,1.0,Tier 1 – High Priority,,,3,0.0017402346
1504012009,2023,Rantau Gedang,Terselenggaranya Musyawarah Desa Non Reguler,Swakelola,0.1045030340211919,0,2.1998856813796923,1,0.00047173793,0,1,Unclassified,Unclassified,activity_category,1.0,Tier 1 – High Priority,,,3,0.0059545394
1504012009,2023,Rantau Gedang,Terciptanya Sistem Informasi Desa,Swakelola,0.1380338898354929,0,2.962575927922077,1,5.696614e-05,0,1,T2_Ghost,T2_Ghost,cost_per_unit,1.0,Tier 1 – High Priority,,,3,0.0017156772
1504012009,2023,Rantau Gedang,Bantuan Langsung Tunai (BLT) - Dana Desa,Swakelola,-0.0273609381042616,1,18767765.025043342,1,0.00025279474,0,1,Unclassified,Unclassified,cost_deviation_by_category,1.0,Tier 1 – High Priority,,,3,0.0022158052
1504012010,2023,Pematang Gadung,Terselenggaranya Pengelolaan Administrasi Aset Desa,Swakelola,0.1321663671684772,0,4.030704610941799,1,0.00033327745,0,1,T2_Ghost,T2_Ghost,cost_deviation_by_category,1.0,Tier 1 – High Priority,,,3,0.0052899118
1504012011,2023,Teluk Melintang,Jumlah alat produksi dan pengolahan pertanian yang diserahkan,Swakelola,-0.0192505555840162,1,9.759123799258395,1,0.0006195955,1,1,T2_Ghost,T2_Ghost,avg_completion,1.0,Tier 1 – High Priority,,,3,0.0061015594
1504012011,2023,Teluk Melintang,Bantuan Langsung Tunai (BLT) - Dana Desa,Swakelola,-0.0274140324420062,1,18434627.582721878,1,0.00026361062,0,1,Unclassified,Unclassified,cost_deviation_by_category,1.0,Tier 1 – High Priority,,,3,0.0
1504012011,2023,Teluk Melintang,Penyertaan Modal BUMDes,Penyertaan Modal,-0.1535065467954181,1,1.1979758176489892,0,0.00073471415,1,1,T1_Markup,T1_Markup|T2_Ghost|T7_CrossCatDump,activity_category,1.0,Tier 1 – High Priority,,,3,0.02635791
1504012012,2023,Bukit Harapan,Makanan Tambahan,Swakelola,0.1728377170268719,0,4.068848681031219,1,0.00010743276,0,1,Unclassified,Unclassified,cost_per_unit,1.0,Tier 1 – High Priority,,,3,0.002516227
1504012012,2023,Bukit Harapan,Bantuan Langsung Tunai (BLT) - Dana Desa,Swakelola,-0.0270571771462908,1,4280629.1484048655,1,0.00025088075,0,1,Unclassified,Unclassified,cost_deviation_by_category,1.0,Tier 1 – High Priority,,,3,0.005114123
1504012014,2023,Tapah Sari,Terselenggaranya Pembinaan Group Kesenian dan Kebudayaan Tingkat Desa,Swakelola,0.0946992861336807,0,2.950989935745623,1,0.0002937505,0,1,T2_Ghost,T2_Ghost,avg_completion,1.0,Tier 1 – High Priority,,,3,0.0046377867
1504012014,2023,Tapah Sari,Jumlah Peserta Pelatihan/Bimtek/Pengenalan Teknologi Tepat Guna untuk Pertanian/Peternakan,Penyertaan Modal,-0.0027986422746245,1,1.669026334801623,0,0.0013746463,1,1,T2_Ghost,T2_Ghost,avg_completion,1.0,Tier 1 – High Priority,,,3,0.015177698
1504012014,2023,Tapah Sari,Penyertaan Modal BUMDes,Swakelola,-0.0171243079073736,1,0.9862022492508415,0,0.000680077,1,1,T2_Ghost,T2_Ghost|T5_ProcurementIrregularity,avg_completion,1.0,Tier 1 – High Priority,,,3,0.00812535
1504012015,2023,Bukit Kemuning,Jumlah alat produksi dan pengolahan peternakan yang diserahkan,Swakelola,-0.0320435698543074,1,1.1337087431456088,0,0.0004964677,1,1,T2_Ghost,T2_Ghost|T5_ProcurementIrregularity,cost_deviation_by_category,1.0,Tier 1 – High Priority,,,3,0.0068369145
1504012016,2023,Simpang Rantau Gedang,Operasional Pemerintah Desa,Swakelola,0.1378547388364667,0,2.0130903254980894,1,0.00015221274,0,1,Unclassified,Unclassified,cost_deviation_by_category,1.0,Tier 1 – High Priority,,,3,0.0032213938
1504012016,2023,Simpang Rantau Gedang,"Rehabilitasi/Peningkatan Prasarana Jalan Desa (Gorong-gorong, Selokan, Box/Slab Culvert, Drainase, Prasarana Jalan lain)",Swakelola,0.1078980399271803,0,1.927433889323707,1,2.9131925e-05,0,1,T2_Ghost,T2_Ghost,swakelola_high_value,1.0,Tier 1 – High Priority,,,3,0.0017272877
1504012017,2023,Tanjung Putra,Jumlah alat produksi dan pengolahan peternakan yang diserahkan,Swakelola,-0.1485809727770516,1,1.042820076881415,0,0.00084185414,1,1,T1_Markup,T1_Markup|T5_ProcurementIrregularity|T7_CrossCatDump,cost_deviation_by_category,1.0,Tier 1 – High Priority,,,3,0.0
1504012017,2023,Tanjung Putra,Jumlah Peserta Peningkatan kapasitas perangkat Desa,Swakelola,0.0560761331098261,0,2.704579833528647,1,0.0020961384,1,1,T2_Ghost,T2_Ghost,activity_category,1.0,Tier 1 – High Priority,,,3,0.0032847584
1504012017,2023,Tanjung Putra,Bantuan Langsung Tunai (BLT) - Dana Desa,Swakelola,-0.0281325186568036,1,130940875.15822108,1,0.00023057817,0,1,Unclassified,Unclassified,cost_deviation_by_category,1.0,Tier 1 – High Priority,,,3,0.001523297
1504012017,2023,Tanjung Putra,Penyertaan Modal BUMDes,Swakelola,-0.0720647794800779,1,1.127863776878013,0,0.0016921904,1,1,T2_Ghost,T2_Ghost|T5_ProcurementIrregularity,avg_completion,1.0,Tier 1 – High Priority,,,3,0.015451486
1504022003,2023,Jebak,Makanan Tambahan,Swakelola,0.1506297389424494,0,2.114214447494044,1,6.459564e-05,0,1,T2_Ghost,T2_Ghost,swakelola_high_value,1.0,Tier 1 – High Priority,,,3,0.002190124
1504022003,2023,Jebak,Terselenggaranya Pengembangan Industri kecil level Desa,Swakelola,-0.0191056085505618,1,1.830237242137308,1,0.0013003657,1,1,T2_Ghost,T2_Ghost,activity_category,1.0,Tier 1 – High Priority,,,3,0.014487652
1504022004,2023,Ampelu,"Sumber Air Bersih Milik Desa (Mata Air/Tandon Penampungan Air Hujan/Sumur Bor, dll)",Swakelola,-0.2328754568643379,1,1.6002115039415052,0,0.003167451,1,1,T1_Markup,T1_Markup|T5_ProcurementIrregularity|T7_CrossCatDump,swakelola_high_value,1.0,Tier 1 – High Priority,,,3,0.0060682944
1504022004,2023,Ampelu,Pembangunan Saluran Irigasi Tersier/Sederhana,Swakelola,0.1188629306980669,0,1.8464328162962496,1,7.250429e-05,0,1,T2_Ghost,T2_Ghost,swakelola_high_value,1.0,Tier 1 – High Priority,,,3,0.0038882496
1504022004,2023,Ampelu,Bantuan Langsung Tunai (BLT) - Dana Desa,Swakelola,-0.0277465978703269,1,44399515.84167646,1,0.00024260397,0,1,Unclassified,Unclassified,cost_deviation_by_category,1.0,Tier 1 – High Priority,,,3,0.005548398
1504022005,2023,Rambutan Masam,Dukungan Penyelenggaraan pencegahan dan penanggulangan kerawanan sosial,Swakelola,-0.0641842155684696,1,1.51549009742816,0,0.0004997918,1,1,T5_ProcurementIrregularity,T5_ProcurementIrregularity,swakelola_high_value,0.6667,Tier 1 – High Priority,,,2,0.012537057
1504022005,2023,Rambutan Masam,Jumlah Frekwensi Penyelenggaraan Festival/Lomba Kepemudaan dan Olahraga tingkat Desa,Swakelola,0.1576004095983385,0,1.8829686160953063,1,5.3612557e-06,0,1,T2_Ghost,T2_Ghost,activity_category,0.6667,Tier 1 – High Priority,,,2,0.00040281107
1504022006,2023,Rantau Kapas Mudo,Makanan Tambahan,Swakelola,0.1595142186652334,0,3.0902380215818344,1,8.369351e-05,0,1,Unclassified,Unclassified,cost_per_unit,1.0,Tier 1 – High Priority,,,3,0.0015588921
1504022006,2023,Rantau Kapas Mudo,Pembangunan Jalan Usaha Tani,Swakelola,0.1152733070980861,0,2.4196197942544497,1,2.3109336e-05,0,1,T2_Ghost,T2_Ghost,cost_per_unit,1.0,Tier 1 – High Priority,,,3,0.000698046
1504022006,2023,Rantau Kapas Mudo,"Poster/Baliho/Lainnya atas ke masyarakat Informasi APBDes, LPJ, dan lainnya",Swakelola,0.1453643916445401,0,5.38048895522116,1,0.0004940827,1,1,T2_Ghost,T2_Ghost,activity_category,1.0,Tier 1 – High Priority,,,3,0.006291415
1504022007,2023,Rantau Kapas Tuo,Bantuan Langsung Tunai (BLT) - Dana Desa,Swakelola,-0.0348575399664708,1,491613595.11968446,1,0.0002988838,0,1,Unclassified,Unclassified,cost_deviation_by_category,1.0,Tier 1 – High Priority,,,3,0.0026929618
1504022008,2023,Sungai Pulai,Pemeliharan Saluran Irigasi Tersier/Sederhana,Swakelola,-0.0009455988841008,1,0.9847295310692672,0,0.0006516533,1,1,T5_ProcurementIrregularity,T5_ProcurementIrregularity,swakelola_high_value,1.0,Tier 1 – High Priority,,,3,0.0077875145
