Kode_Desa,n_flagged_records,dominant_typology,top_rda_feature,persistence_score,years_flagged,Nama_Desa
1572082006,3,T7_CrossCatDump,cost_deviation_by_category,1.0,3,Sungai Ning
1501012001,8,T2_Ghost,cost_deviation_by_category,1.0,3,Selam Paung
1501012003,10,T2_Ghost,cost_per_unit,1.0,3,Lempur Mudik
1572082004,3,Unclassified,activity_category,1.0,3,Pelayang Raya
1501012006,6,T2_Ghost,cost_deviation_by_category,1.0,3,Lempur Hilir
1501012011,10,T2_Ghost,cost_deviation_by_category,1.0,3,Kebun Baru
1572082003,6,T5_ProcurementIrregularity,swakelola_high_value,1.0,3,Talang Lindung
1501012013,7,T2_Ghost,activity_category,1.0,3,Dusun Baru Lempur
1501012016,5,T2_Ghost,cost_per_unit,1.0,3,Sungaihangat
1501012018,4,T2_Ghost,activity_category,1.0,3,Manjunto Lempur
1572082002,5,T2_Ghost,cost_per_unit,1.0,3,Koto Tinggi
1572072006,3,T5_ProcurementIrregularity,activity_category,1.0,3,Srimenanti
1501022003,5,T5_ProcurementIrregularity,cost_per_unit,1.0,3,Pendung Talang Genting
1572072005,4,T1_Markup,cost_deviation_by_category,1.0,3,Permai Indah
1572032003,16,T2_Ghost,avg_completion,1.0,3,Maliki Air
1572032005,5,T2_Ghost,cost_deviation_by_category,1.0,3,Koto Teluk
1572032007,4,T1_Markup,activity_category,1.0,3,Simpang Tiga Rawang
1572032009,10,T5_ProcurementIrregularity,avg_completion,1.0,3,Dusun Diilir
1572032010,12,T5_ProcurementIrregularity,cost_deviation_by_category,1.0,3,Paling Serumpun
1572022004,8,T1_Markup,cost_deviation_by_category,1.0,3,Koto Lolo
1572022005,7,T2_Ghost,avg_completion,1.0,3,Koto Tengah
1572022010,8,T5_ProcurementIrregularity,activity_category,1.0,3,Sungai Liuk
1572022011,8,T1_Markup,activity_category,1.0,3,Seberang
1572022015,8,Unclassified,cost_deviation_by_category,1.0,3,Sumur Gedang
1572032001,11,T5_ProcurementIrregularity,cost_deviation_by_category,1.0,3,Kampung Diilir
1572032002,7,T2_Ghost,activity_category,1.0,3,Koto Beringin
1509122007,7,T2_Ghost,cost_per_unit,1.0,3,Bangko Pintas
1572012006,13,T5_ProcurementIrregularity,cost_deviation_by_category,1.0,3,Gedang
1572012014,11,T5_ProcurementIrregularity,cost_per_unit,1.0,3,Amar Sakti
1572022001,6,T1_Markup,avg_completion,1.0,3,Koto Renah
1572022002,5,T5_ProcurementIrregularity,swakelola_high_value,1.0,3,Koto Keras
1572022003,9,Unclassified,cost_deviation_by_category,1.0,3,Koto Bento
1509112005,7,Unclassified,cost_per_unit,1.0,3,Paseban
1509112006,7,T5_ProcurementIrregularity,avg_completion,1.0,3,Pasir Mayang
1509122002,5,T2_Ghost,swakelola_high_value,1.0,3,Pintas Tuo
1509122003,6,T2_Ghost,activity_category,1.0,3,Embacang Gedang
1509122004,10,T2_Ghost,avg_completion,1.0,3,Bangun Seranten
1509122006,7,T2_Ghost,swakelola_high_value,1.0,3,Sungai Jernih
1501082007,4,T2_Ghost,activity_category,1.0,3,Kt Tuo P. Tengah
1501082008,7,T2_Ghost,cost_deviation_by_category,1.0,3,Kt. Dian P. Tengah
1501082012,6,T2_Ghost,swakelola_high_value,1.0,3,Lempur Danau
1501082023,5,T2_Ghost,cost_per_unit,1.0,3,Koto Baru
1501072011,3,T2_Ghost,cost_deviation_by_category,1.0,3,Baru Pulau Sangkar
1501072013,3,T5_ProcurementIrregularity,avg_completion,1.0,3,Batang Merangin
1501072014,5,T2_Ghost,cost_deviation_by_category,1.0,2,Muara Hemat
1501082002,7,T2_Ghost,avg_completion,1.0,3,Talang Lindung
1501082003,8,T2_Ghost,cost_deviation_by_category,1.0,3,Keluru
1501082006,4,T5_ProcurementIrregularity,avg_completion,1.0,3,Benik
1501062040,6,T2_Ghost,cost_per_unit,1.0,3,Baru Sungai Betung Mudik
1501062041,11,T2_Ghost,cost_deviation_by_category,1.0,3,Tanjunggenting Mudik
1501062042,6,T2_Ghost,cost_deviation_by_category,1.0,3,Air Betung
1501062043,4,T7_CrossCatDump,cost_deviation_by_category,1.0,3,Ujung Ladang
1501072004,5,T2_Ghost,cost_deviation_by_category,1.0,3,Tarutung
1501062010,3,T2_Ghost,swakelola_high_value,1.0,3,Sungaibetung Hilir
1501062012,4,T2_Ghost,cost_per_unit,1.0,3,Tanjunggenting
1501062018,9,T2_Ghost,cost_deviation_by_category,1.0,3,Siulak Deras Mudik
1501062039,8,T2_Ghost,avg_completion,1.0,3,Sungai Batu Gantih Hilir
1501112003,7,T2_Ghost,cost_per_unit,1.0,3,Kemantan Darat
1501112004,6,T2_Ghost,cost_per_unit,1.0,3,Sungaiabu
1501112006,6,T2_Ghost,cost_deviation_by_category,1.0,3,Koto Tebat
1501112007,7,T2_Ghost,avg_completion,1.0,3,Sungaimedang
1501112008,7,T2_Ghost,cost_deviation_by_category,1.0,3,Air Hangat
1501112009,5,T2_Ghost,cost_per_unit,1.0,3,Baru Sungai Tutung
1501092042,6,T2_Ghost,avg_completion,1.0,3,Pasar Sungai Tanduk
1501092043,4,T2_Ghost,cost_deviation_by_category,1.0,3,Mekar Sari
1501092045,6,T2_Ghost,avg_completion,1.0,3,Mekar Jaya
1501092049,4,T2_Ghost,cost_deviation_by_category,1.0,3,Bendung Air Timur
1501092015,6,T2_Ghost,cost_deviation_by_category,1.0,3,Koto Panjang
1501092016,9,T2_Ghost,cost_deviation_by_category,1.0,3,Koto Tengah
1501092017,4,T5_ProcurementIrregularity,activity_category,1.0,3,Sungaibendung Air
1501092038,3,T1_Markup,cost_per_unit,1.0,3,Koto Periang
1501082026,6,T2_Ghost,cost_per_unit,1.0,3,Limok Manaih Pulau Tengah
1501082027,5,T2_Ghost,avg_completion,1.0,3,Pasar Jujun
1501092014,5,T2_Ghost,cost_deviation_by_category,1.0,3,Koto Baru
1509102008,6,T2_Ghost,cost_deviation_by_category,1.0,3,Teluk Melintang
1509112001,10,T2_Ghost,cost_deviation_by_category,1.0,3,Teluk Kepayang Pulau Indah
1509112002,8,T5_ProcurementIrregularity,cost_deviation_by_category,1.0,3,Balai Rajo
1509092002,10,T5_ProcurementIrregularity,swakelola_high_value,1.0,3,Penapalan
