Kode_Desa,years_flagged,n_years,persistence_score,priority_tier,Nama_Desa
1572082006,3,3,1.0,Tier 1 – High Priority,Sungai Ning
1501012001,3,3,1.0,Tier 1 – High Priority,Selam Paung
1572082004,3,3,1.0,Tier 1 – High Priority,Pelayang Raya
1501012003,3,3,1.0,Tier 1 – High Priority,Lempur Mudik
1572082003,3,3,1.0,Tier 1 – High Priority,Talang Lindung
1501012006,3,3,1.0,Tier 1 – High Priority,Lempur Hilir
1501012011,3,3,1.0,Tier 1 – High Priority,Kebun Baru
1572082002,3,3,1.0,Tier 1 – High Priority,Koto Tinggi
1501012013,3,3,1.0,Tier 1 – High Priority,Dusun Baru Lempur
1501012016,3,3,1.0,Tier 1 – High Priority,Sungaihangat
1501012018,3,3,1.0,Tier 1 – High Priority,Manjunto Lempur
1572072006,3,3,1.0,Tier 1 – High Priority,Srimenanti
1572072005,3,3,1.0,Tier 1 – High Priority,Permai Indah
1572032009,3,3,1.0,Tier 1 – High Priority,Dusun Diilir
1572032010,3,3,1.0,Tier 1 – High Priority,Paling Serumpun
1572032013,3,3,1.0,Tier 1 – High Priority,Cempaka
1572042001,3,3,1.0,Tier 1 – High Priority,Baru Debai
1572042002,3,3,1.0,Tier 1 – High Priority,Pendung Hiang
1572022015,3,3,1.0,Tier 1 – High Priority,Sumur Gedang
1572032001,3,3,1.0,Tier 1 – High Priority,Kampung Diilir
1572032002,3,3,1.0,Tier 1 – High Priority,Koto Beringin
1572032003,3,3,1.0,Tier 1 – High Priority,Maliki Air
1572032005,3,3,1.0,Tier 1 – High Priority,Koto Teluk
1572032007,3,3,1.0,Tier 1 – High Priority,Simpang Tiga Rawang
1572022001,3,3,1.0,Tier 1 – High Priority,Koto Renah
1572022002,3,3,1.0,Tier 1 – High Priority,Koto Keras
1572022003,3,3,1.0,Tier 1 – High Priority,Koto Bento
1572022004,3,3,1.0,Tier 1 – High Priority,Koto Lolo
1572022005,3,3,1.0,Tier 1 – High Priority,Koto Tengah
1572022010,3,3,1.0,Tier 1 – High Priority,Sungai Liuk
1572022011,3,3,1.0,Tier 1 – High Priority,Seberang
1509122004,3,3,1.0,Tier 1 – High Priority,Bangun Seranten
1509122006,3,3,1.0,Tier 1 – High Priority,Sungai Jernih
1509122007,3,3,1.0,Tier 1 – High Priority,Bangko Pintas
1572012006,3,3,1.0,Tier 1 – High Priority,Gedang
1572012014,3,3,1.0,Tier 1 – High Priority,Amar Sakti
1501072004,3,3,1.0,Tier 1 – High Priority,Tarutung
1501072011,3,3,1.0,Tier 1 – High Priority,Baru Pulau Sangkar
1501072013,3,3,1.0,Tier 1 – High Priority,Batang Merangin
1501062018,3,3,1.0,Tier 1 – High Priority,Siulak Deras Mudik
1501062039,3,3,1.0,Tier 1 – High Priority,Sungai Batu Gantih Hilir
1501062040,3,3,1.0,Tier 1 – High Priority,Baru Sungai Betung Mudik
1501062041,3,3,1.0,Tier 1 – High Priority,Tanjunggenting Mudik
1501062042,3,3,1.0,Tier 1 – High Priority,Air Betung
1501062043,3,3,1.0,Tier 1 – High Priority,Ujung Ladang
1501052039,3,3,1.0,Tier 1 – High Priority,Pendung Tengah
1501062010,3,3,1.0,Tier 1 – High Priority,Sungaibetung Hilir
1501062012,3,3,1.0,Tier 1 – High Priority,Tanjunggenting
1501052018,3,3,1.0,Tier 1 – High Priority,Pendung Mudik
1501052029,3,3,1.0,Tier 1 – High Priority,Koto Majidin Mudik
1501052035,3,3,1.0,Tier 1 – High Priority,Muara Semerah Mudik
1501052036,3,3,1.0,Tier 1 – High Priority,Sawahan Koto Majidin
1501052037,3,3,1.0,Tier 1 – High Priority,Sawahan Jaya
1501052038,3,3,1.0,Tier 1 – High Priority,Koto Majidin Di Air
1501092015,3,3,1.0,Tier 1 – High Priority,Koto Panjang
1501092016,3,3,1.0,Tier 1 – High Priority,Koto Tengah
1501092017,3,3,1.0,Tier 1 – High Priority,Sungaibendung Air
1501092038,3,3,1.0,Tier 1 – High Priority,Koto Periang
1501082026,3,3,1.0,Tier 1 – High Priority,Limok Manaih Pulau Tengah
1501082027,3,3,1.0,Tier 1 – High Priority,Pasar Jujun
1501092014,3,3,1.0,Tier 1 – High Priority,Koto Baru
1501082008,3,3,1.0,Tier 1 – High Priority,Kt. Dian P. Tengah
1501082012,3,3,1.0,Tier 1 – High Priority,Lempur Danau
1501082023,3,3,1.0,Tier 1 – High Priority,Koto Baru
1501072014,2,2,1.0,Tier 1 – High Priority,Muara Hemat
1501082002,3,3,1.0,Tier 1 – High Priority,Talang Lindung
1501082003,3,3,1.0,Tier 1 – High Priority,Keluru
1501082006,3,3,1.0,Tier 1 – High Priority,Benik
1501082007,3,3,1.0,Tier 1 – High Priority,Kt Tuo P. Tengah
1509112002,3,3,1.0,Tier 1 – High Priority,Balai Rajo
1509112005,3,3,1.0,Tier 1 – High Priority,Paseban
1509112006,3,3,1.0,Tier 1 – High Priority,Pasir Mayang
1509122002,3,3,1.0,Tier 1 – High Priority,Pintas Tuo
1509122003,3,3,1.0,Tier 1 – High Priority,Embacang Gedang
1509102003,3,3,1.0,Tier 1 – High Priority,Bukit Pamuatan
1509102008,3,3,1.0,Tier 1 – High Priority,Teluk Melintang
1509112001,3,3,1.0,Tier 1 – High Priority,Teluk Kepayang Pulau Indah
1509092001,3,3,1.0,Tier 1 – High Priority,Muara Kilis
1509092002,3,3,1.0,Tier 1 – High Priority,Penapalan
1509092003,3,3,1.0,Tier 1 – High Priority,Mengupeh
1509092005,3,3,1.0,Tier 1 – High Priority,Lubuk Mandarsah
1509072006,3,3,1.0,Tier 1 – High Priority,Suka Maju
1509082001,3,3,1.0,Tier 1 – High Priority,Giriwinangun
1509082004,3,3,1.0,Tier 1 – High Priority,Karang Dadi
1509082007,3,3,1.0,Tier 1 – High Priority,Sarimulya
1501112020,3,3,1.0,Tier 1 – High Priority,Kemantan Mudik
1501112021,3,3,1.0,Tier 1 – High Priority,Simpang Empat Sungai Tutung
1501112024,3,3,1.0,Tier 1 – High Priority,Baru Sungaimedang
1501112026,2,2,1.0,Tier 1 – High Priority,Baru Air Hangat
1501112009,3,3,1.0,Tier 1 – High Priority,Baru Sungai Tutung
1501112012,3,3,1.0,Tier 1 – High Priority,Pungut Mudik
1501112015,3,3,1.0,Tier 1 – High Priority,Sungaitutung
1501112003,3,3,1.0,Tier 1 – High Priority,Kemantan Darat
1501112004,3,3,1.0,Tier 1 – High Priority,Sungaiabu
1501112006,3,3,1.0,Tier 1 – High Priority,Koto Tebat
1501112007,3,3,1.0,Tier 1 – High Priority,Sungaimedang
1501112008,3,3,1.0,Tier 1 – High Priority,Air Hangat
1501092042,3,3,1.0,Tier 1 – High Priority,Pasar Sungai Tanduk
1501092043,3,3,1.0,Tier 1 – High Priority,Mekar Sari
1501092045,3,3,1.0,Tier 1 – High Priority,Mekar Jaya
1501092049,3,3,1.0,Tier 1 – High Priority,Bendung Air Timur
1509062014,3,3,1.0,Tier 1 – High Priority,Dusun Baru
1509062015,3,3,1.0,Tier 1 – High Priority,Tabun
1509062016,3,3,1.0,Tier 1 – High Priority,Muara Tabun
1509072001,3,3,1.0,Tier 1 – High Priority,Suka Damai
1509072003,3,3,1.0,Tier 1 – High Priority,Sumber Sari
1509072004,3,3,1.0,Tier 1 – High Priority,Sido Rukun
1509062002,3,3,1.0,Tier 1 – High Priority,Kuamang
1509062004,3,3,1.0,Tier 1 – High Priority,Sungai Abang
1509062013,3,3,1.0,Tier 1 – High Priority,Teluk Lancang
1509052004,3,3,1.0,Tier 1 – High Priority,Tambun Arang
1509052005,3,3,1.0,Tier 1 – High Priority,Punti Kalo
1509052007,3,3,1.0,Tier 1 – High Priority,Tuo Sumay
1509052010,3,3,1.0,Tier 1 – High Priority,Muara Sekalo
1509042005,3,3,1.0,Tier 1 – High Priority,Tegal Arum
1509042007,3,3,1.0,Tier 1 – High Priority,Sapta Mulia
1509042008,3,3,1.0,Tier 1 – High Priority,Pematang Sapat
1509052001,3,3,1.0,Tier 1 – High Priority,Teluk Singkawang
1501162016,3,3,1.0,Tier 1 – High Priority,Air Terjun
1501162021,3,3,1.0,Tier 1 – High Priority,Koto Lebuh Tinggi
1501162025,3,3,1.0,Tier 1 – High Priority,Koto Tengah
1501162006,3,3,1.0,Tier 1 – High Priority,Siulak Kecil Mudik
1501162010,3,3,1.0,Tier 1 – High Priority,Sungaipegeh
1501152008,3,3,1.0,Tier 1 – High Priority,Telun Berasap
1501152009,3,3,1.0,Tier 1 – High Priority,Bumbun Duri
1501152010,3,3,1.0,Tier 1 – High Priority,Pesisir Bukit
1501152011,3,3,1.0,Tier 1 – High Priority,Pauh Tinggi
1501152012,3,3,1.0,Tier 1 – High Priority,Sungaijernih
1501152013,3,3,1.0,Tier 1 – High Priority,Pelompek Pasar Baru
1501162004,3,3,1.0,Tier 1 – High Priority,Pasar Siulak Gedang
1501152002,3,3,1.0,Tier 1 – High Priority,Sungaisikai
1501152003,3,3,1.0,Tier 1 – High Priority,Tangkil
1501152006,3,3,1.0,Tier 1 – High Priority,Bengkolan Duo
1501152007,3,3,1.0,Tier 1 – High Priority,Lubuk Pauh
1509032016,3,3,1.0,Tier 1 – High Priority,Pulau Jelmu
1509032017,3,3,1.0,Tier 1 – High Priority,Medan Seri Rambahan
1509032019,3,3,1.0,Tier 1 – High Priority,Teluk Pandan Rambahan
1509042002,3,3,1.0,Tier 1 – High Priority,Perintis
1509042003,3,3,1.0,Tier 1 – High Priority,Rimbo Mulyo
1509032005,3,3,1.0,Tier 1 – High Priority,Teluk Kasai Rambahan
1509032008,3,3,1.0,Tier 1 – High Priority,Bungo Tanjung
1509032010,3,3,1.0,Tier 1 – High Priority,Lubuk Benteng
1509032011,3,3,1.0,Tier 1 – High Priority,Teluk Kuali
1509022015,3,3,1.0,Tier 1 – High Priority,Muara Ketalo
1509022017,3,3,1.0,Tier 1 – High Priority,Sungai Bengkal Barat
1509032002,3,3,1.0,Tier 1 – High Priority,Sungai Rambai
1509032003,3,3,1.0,Tier 1 – High Priority,Pagar Puding
1509012010,3,3,1.0,Tier 1 – High Priority,Sungai Keruh
1509012012,3,3,1.0,Tier 1 – High Priority,Sungai Alai
1509022002,3,3,1.0,Tier 1 – High Priority,Sungai Aro
1509022003,3,3,1.0,Tier 1 – High Priority,Teluk Rendah Pasar
1501172017,3,3,1.0,Tier 1 – High Priority,Kubang Agung
1501172019,3,3,1.0,Tier 1 – High Priority,Koto Simpai Kubang
1501172020,3,3,1.0,Tier 1 – High Priority,Pahlawan Belui
1501182001,3,3,1.0,Tier 1 – High Priority,Mukai Hilir
1501182004,3,3,1.0,Tier 1 – High Priority,Senimpik
1501172009,3,3,1.0,Tier 1 – High Priority,Tebat Ijuk
1501172011,3,3,1.0,Tier 1 – High Priority,Simpang Belui
1501172013,3,3,1.0,Tier 1 – High Priority,Ladeh
1501172014,3,3,1.0,Tier 1 – High Priority,Lubuk Suli
1501172015,3,3,1.0,Tier 1 – High Priority,Kayu Aho Mangkak Koto Lanang
1501172016,3,3,1.0,Tier 1 – High Priority,Tambak Tinggi
1501172002,3,3,1.0,Tier 1 – High Priority,Baru Kubang
1501172003,3,3,1.0,Tier 1 – High Priority,Koto Panjang
1501172004,3,3,1.0,Tier 1 – High Priority,Kubang Gedang
1501172005,3,3,1.0,Tier 1 – High Priority,Semumu
1501172006,3,3,1.0,Tier 1 – High Priority,Belui Tinggi
1501172008,3,3,1.0,Tier 1 – High Priority,Koto Payang
1501162033,3,3,1.0,Tier 1 – High Priority,Baru Sungaipegeh
1501162038,3,3,1.0,Tier 1 – High Priority,Pelak Gedang
1501162040,3,3,1.0,Tier 1 – High Priority,Pasar Senen
1508172011,3,3,1.0,Tier 1 – High Priority,Sungai Tembang
1508172012,3,3,1.0,Tier 1 – High Priority,Rantau Makmur
1509012004,3,3,1.0,Tier 1 – High Priority,Mangun Jayo
1509012005,3,3,1.0,Tier 1 – High Priority,Teluk Pandak
1509012007,3,3,1.0,Tier 1 – High Priority,Semabu
1508172003,3,3,1.0,Tier 1 – High Priority,Lubuk Landai
1508172004,3,3,1.0,Tier 1 – High Priority,Rantau Embacang
1508172005,3,3,1.0,Tier 1 – High Priority,Tebing Tinggi
1508172006,3,3,1.0,Tier 1 – High Priority,Embacang Gedang
1508172007,3,3,1.0,Tier 1 – High Priority,Sungai Puri
1508172009,3,3,1.0,Tier 1 – High Priority,Pematang Panjang
1508172010,3,3,1.0,Tier 1 – High Priority,Sungai Lilin
1508162002,3,3,1.0,Tier 1 – High Priority,Aur Gading
1508162003,3,3,1.0,Tier 1 – High Priority,Pulau Batu
1508162004,3,3,1.0,Tier 1 – High Priority,Sari Mulya
1508162006,3,3,1.0,Tier 1 – High Priority,Lubuk Tenam
1508162007,3,3,1.0,Tier 1 – High Priority,Kuamang
1508172001,3,3,1.0,Tier 1 – High Priority,Sungai Mancur
1508172002,3,3,1.0,Tier 1 – High Priority,Tanah Periuk
1508142008,3,3,1.0,Tier 1 – High Priority,Lubuk Beringin
1508142009,3,3,1.0,Tier 1 – High Priority,Sungai Telang
1508152002,3,3,1.0,Tier 1 – High Priority,Peninjau
1508152003,3,3,1.0,Tier 1 – High Priority,Talang Selungko
1508152004,3,3,1.0,Tier 1 – High Priority,Pulau Kerakap
1508152005,3,3,1.0,Tier 1 – High Priority,Seberang Jaya
1508162001,3,3,1.0,Tier 1 – High Priority,Tepian Danto
1501192015,3,3,1.0,Tier 1 – High Priority,Sungaiasam
1501192017,3,3,1.0,Tier 1 – High Priority,Ensatu
1501202001,3,3,1.0,Tier 1 – High Priority,Pasar Kerman
1501202002,3,3,1.0,Tier 1 – High Priority,Lolo Gedang
1501202003,3,3,1.0,Tier 1 – High Priority,Lolo Kecil
1501202005,3,3,1.0,Tier 1 – High Priority,Tanjung Syam
1501192008,3,3,1.0,Tier 1 – High Priority,Patok Empat
1501192009,3,3,1.0,Tier 1 – High Priority,Sungaijambu
1501192011,3,3,1.0,Tier 1 – High Priority,Giri Mulyo
1501192012,3,3,1.0,Tier 1 – High Priority,Gununglabu
1501192013,3,3,1.0,Tier 1 – High Priority,Bento
1501192014,3,3,1.0,Tier 1 – High Priority,Kampung Baru
1501182013,2,2,1.0,Tier 1 – High Priority,Lubuk Tabun
1501182014,3,3,1.0,Tier 1 – High Priority,Koto Lua
1501192001,3,3,1.0,Tier 1 – High Priority,Batu Hampar
1501192002,3,3,1.0,Tier 1 – High Priority,Sungairenah
1501192003,3,3,1.0,Tier 1 – High Priority,Bedeng Delapan
1501192004,3,3,1.0,Tier 1 – High Priority,Bedeng Dua
1501192005,3,3,1.0,Tier 1 – High Priority,Sako Duo
1501182005,3,3,1.0,Tier 1 – High Priority,Tebing Tinggi
1501182007,3,3,1.0,Tier 1 – High Priority,Mukai Pintu
1501182009,3,3,1.0,Tier 1 – High Priority,Pasir Jaya
1501182010,3,3,1.0,Tier 1 – High Priority,Sungaikuning
1501182012,3,3,1.0,Tier 1 – High Priority,Talang Tinggi
1502012004,3,3,1.0,Tier 1 – High Priority,Rantau Kermas
1502012011,3,3,1.0,Tier 1 – High Priority,Muara Madras
1502012023,3,3,1.0,Tier 1 – High Priority,Renah Pelaan
1501212010,3,3,1.0,Tier 1 – High Priority,Koto Cayo
1501212012,3,3,1.0,Tier 1 – High Priority,Air Bersih
1501202015,3,3,1.0,Tier 1 – High Priority,Muaro Lulo
1501212001,3,3,1.0,Tier 1 – High Priority,Koto Mebai
1501212002,3,3,1.0,Tier 1 – High Priority,Baru
1501212003,3,3,1.0,Tier 1 – High Priority,Air Panas
1501212004,3,3,1.0,Tier 1 – High Priority,Hamparan Pugu
1501212005,3,3,1.0,Tier 1 – High Priority,Pugu
1501212006,3,3,1.0,Tier 1 – High Priority,Koto Mudik
1501202006,3,3,1.0,Tier 1 – High Priority,Talang Kemuning
