Kode_Desa,n_flagged_records,dominant_typology,top_rda_feature,persistence_score,years_flagged,Nama_Desa
1501012003,4,T1_Markup,cost_per_unit,1.0,3,Lempur Mudik
1572082004,5,T7_CrossCatDump,avg_completion,1.0,3,Pelayang Raya
1572052006,10,T1_Markup,activity_category,1.0,3,Pinggir Air
1572062004,4,T7_CrossCatDump,activity_category,1.0,3,Permanti
1572062005,9,T1_Markup,avg_completion,1.0,3,Lawang Agung
1572072001,5,T1_Markup,avg_completion,1.0,3,Koto Baru
1501072014,2,Unclassified,cost_per_unit,1.0,2,Muara Hemat
1501092010,6,T1_Markup,cost_per_unit,1.0,3,Koto Tuo
1572012004,9,T1_Markup,activity_category,1.0,3,Pasar Baru
1572022001,4,T1_Markup,cost_per_unit,1.0,3,Koto Renah
1572022004,9,T1_Markup,cost_per_unit,1.0,3,Koto Lolo
1572022010,6,T1_Markup,cost_per_unit,1.0,3,Sungai Liuk
1572032003,10,Unclassified,activity_category,1.0,3,Maliki Air
1572032007,5,T7_CrossCatDump,avg_completion,1.0,3,Simpang Tiga Rawang
1509092002,4,T1_Markup,activity_category,1.0,3,Penapalan
1509102003,3,Unclassified,activity_category,1.0,3,Bukit Pamuatan
1509102004,5,T7_CrossCatDump,avg_completion,1.0,3,Napal Putih
1509112002,3,T1_Markup,activity_category,1.0,3,Balai Rajo
1509122005,6,T7_CrossCatDump,avg_completion,1.0,3,Tambun Arang
1501092045,3,T1_Markup,cost_per_unit,1.0,3,Mekar Jaya
1501112021,3,T7_CrossCatDump,avg_completion,1.0,3,Simpang Empat Sungai Tutung
1501112024,7,T7_CrossCatDump,avg_completion,1.0,3,Baru Sungaimedang
1501152005,5,T1_Markup,avg_completion,1.0,3,Jernih Jaya
1509052009,4,T2_Ghost,avg_completion,1.0,3,Suo-Suo
1509052010,6,T1_Markup,activity_category,1.0,3,Muara Sekalo
1509052011,5,T7_CrossCatDump,avg_completion,1.0,3,Semambu
